name,exact_english_wikipedia_article_title,category,region,era
"Great Pyramid of Giza","Great Pyramid of Giza","architecture","Middle East and North Africa","Ancient"
"Great Sphinx of Giza","Great Sphinx of Giza","monument","Middle East and North Africa","Ancient"
"Abu Simbel temples","Abu Simbel","architecture","Middle East and North Africa","Ancient"
"Karnak temple complex","Karnak","architecture","Middle East and North Africa","Ancient"
"Petra","Petra","archaeological site","Middle East and North Africa","Ancient"
"Great Mosque of Djenné","Great Mosque of Djenné","architecture","Sub-Saharan Africa","20th century"
"Rock-Hewn Churches of Lalibela","Rock-Hewn Churches, Lalibela","architecture","Sub-Saharan Africa","Medieval"
"Great Zimbabwe","Great Zimbabwe","archaeological site","Sub-Saharan Africa","Medieval"
"Hassan II Mosque","Hassan II Mosque","architecture","Middle East and North Africa","20th century"
"Colosseum","Colosseum","architecture","Europe","Ancient"
"Pantheon","Pantheon, Rome","architecture","Europe","Ancient"
"Parthenon","Parthenon","architecture","Europe","Ancient"
"Trevi Fountain","Trevi Fountain","monument","Europe","18th century"
"Leaning Tower of Pisa","Leaning Tower of Pisa","architecture","Europe","Medieval"
"Florence Cathedral","Florence Cathedral","architecture","Europe","Medieval and Renaissance"
"Milan Cathedral","Milan Cathedral","architecture","Europe","Medieval to modern"
"St. Peter's Basilica","St. Peter's Basilica","architecture","Europe","Renaissance and early modern"
"Sistine Chapel","Sistine Chapel","architecture and artwork","Europe","Renaissance"
"Rialto Bridge","Rialto Bridge","bridge","Europe","Renaissance"
"Palace of Versailles","Palace of Versailles","architecture","Europe","Early modern"
"Eiffel Tower","Eiffel Tower","tower","Europe","19th century"
"Arc de Triomphe","Arc de Triomphe","monument","Europe","19th century"
"Notre-Dame de Paris","Notre-Dame de Paris","architecture","Europe","Medieval"
"Louvre Pyramid","Louvre Pyramid","architecture","Europe","20th century"
"Mont-Saint-Michel","Mont-Saint-Michel","architecture","Europe","Medieval"
"Palace of Westminster","Palace of Westminster","architecture","Europe","19th century"
"Big Ben","Big Ben","tower and clock","Europe","19th century"
"Tower Bridge","Tower Bridge","bridge","Europe","19th century"
"Tower of London","Tower of London","architecture","Europe","Medieval"
"Buckingham Palace","Buckingham Palace","architecture","Europe","18th–19th centuries"
"St Paul's Cathedral","St Paul's Cathedral","architecture","Europe","Early modern"
"Stonehenge","Stonehenge","monument","Europe","Prehistoric"
"Edinburgh Castle","Edinburgh Castle","architecture","Europe","Medieval to modern"
"Windsor Castle","Windsor Castle","architecture","Europe","Medieval to modern"
"Neuschwanstein Castle","Neuschwanstein Castle","architecture","Europe","19th century"
"Brandenburg Gate","Brandenburg Gate","monument","Europe","18th century"
"Reichstag building","Reichstag building","architecture","Europe","19th–20th centuries"
"Cologne Cathedral","Cologne Cathedral","architecture","Europe","Medieval to modern"
"Berlin Wall","Berlin Wall","infrastructure and monument","Europe","20th century"
"Sagrada Família","Sagrada Família","architecture","Europe","19th–21st centuries"
"Park Güell","Park Güell","architecture","Europe","20th century"
"Alhambra","Alhambra","architecture","Europe","Medieval"
"Guggenheim Museum Bilbao","Guggenheim Museum Bilbao","architecture","Europe","20th century"
"Belém Tower","Belém Tower","architecture","Europe","Renaissance"
"Pena Palace","Pena Palace","architecture","Europe","19th century"
"Atomium","Atomium","monument","Europe","20th century"
"Saint Basil's Cathedral","Saint Basil's Cathedral","architecture","Europe and North Asia","Early modern"
"Moscow Kremlin","Kremlin","architecture","Europe and North Asia","Medieval to modern"
"Church of the Savior on Blood","Church of the Savior on Blood","architecture","Europe and North Asia","19th–20th centuries"
"Winter Palace","Winter Palace","architecture","Europe and North Asia","18th century"
"Prague Castle","Prague Castle","architecture","Europe","Medieval to modern"
"Charles Bridge","Charles Bridge","bridge","Europe","Medieval"
"Dancing House","Dancing House","architecture","Europe","20th century"
"Hungarian Parliament Building","Hungarian Parliament Building","architecture","Europe","19th–20th centuries"
"Hallgrímskirkja","Hallgrímskirkja","architecture","Europe","20th century"
"The Little Mermaid statue","The Little Mermaid (statue)","sculpture","Europe","20th century"
"Hagia Sophia","Hagia Sophia","architecture","Europe and Middle East","Medieval"
"Blue Mosque","Blue Mosque, Istanbul","architecture","Middle East and North Africa","Early modern"
"Kaaba","Kaaba","religious structure","Middle East and North Africa","Ancient to modern"
"Dome of the Rock","Dome of the Rock","architecture","Middle East and North Africa","Medieval"
"Western Wall","Western Wall","religious structure","Middle East and North Africa","Ancient"
"Burj Khalifa","Burj Khalifa","architecture","Middle East and North Africa","21st century"
"Burj Al Arab","Burj Al Arab","architecture","Middle East and North Africa","20th century"
"Palm Jumeirah","Palm Jumeirah","infrastructure","Middle East and North Africa","21st century"
"Sheikh Zayed Grand Mosque","Sheikh Zayed Grand Mosque","architecture","Middle East and North Africa","21st century"
"Persepolis","Persepolis","archaeological site","Middle East and North Africa","Ancient"
"Azadi Tower","Azadi Tower","monument","Middle East and North Africa","20th century"
"Taj Mahal","Taj Mahal","architecture","South Asia","Early modern"
"Golden Temple","Golden Temple","architecture","South Asia","Early modern"
"India Gate","India Gate","monument","South Asia","20th century"
"Gateway of India","Gateway of India","monument","South Asia","20th century"
"Lotus Temple","Lotus Temple","architecture","South Asia","20th century"
"Hawa Mahal","Hawa Mahal","architecture","South Asia","18th century"
"Qutb Minar","Qutb Minar","tower","South Asia","Medieval"
"Mysore Palace","Mysore Palace","architecture","South Asia","20th century"
"Angkor Wat","Angkor Wat","architecture","Southeast Asia","Medieval"
"Borobudur","Borobudur","architecture","Southeast Asia","Medieval"
"Shwedagon Pagoda","Shwedagon Pagoda","architecture","Southeast Asia","Ancient to modern"
"Petronas Towers","Petronas Towers","architecture","Southeast Asia","20th century"
"Marina Bay Sands","Marina Bay Sands","architecture","Southeast Asia","21st century"
"Merlion","Merlion","sculpture","Southeast Asia","20th century"
"Gardens by the Bay","Gardens by the Bay","landscape architecture","Southeast Asia","21st century"
"Sydney Opera House","Sydney Opera House","architecture","Oceania","20th century"
"Sydney Harbour Bridge","Sydney Harbour Bridge","bridge","Oceania","20th century"
"Great Wall of China","Great Wall of China","fortification","East Asia","Ancient to early modern"
"Forbidden City","Forbidden City","architecture","East Asia","Medieval"
"Temple of Heaven","Temple of Heaven","architecture","East Asia","Medieval"
"Summer Palace","Summer Palace","architecture","East Asia","Early modern"
"Potala Palace","Potala Palace","architecture","East Asia","Medieval and early modern"
"Leshan Giant Buddha","Leshan Giant Buddha","sculpture","East Asia","Medieval"
"Terracotta Army","Terracotta Army","sculpture and archaeological site","East Asia","Ancient"
"Tiananmen","Tiananmen","architecture","East Asia","Medieval to modern"
"Taipei 101","Taipei 101","architecture","East Asia","21st century"
"Tokyo Tower","Tokyo Tower","tower","East Asia","20th century"
"Himeji Castle","Himeji Castle","architecture","East Asia","Medieval and early modern"
"Kinkaku-ji","Kinkaku-ji","architecture","East Asia","Medieval"
"Fushimi Inari-taisha","Fushimi Inari-taisha","architecture","East Asia","Ancient to modern"
"Itsukushima Shrine","Itsukushima Shrine","architecture","East Asia","Medieval"
"Great Buddha of Kamakura","Kōtoku-in","sculpture","East Asia","Medieval"
"Machu Picchu","Machu Picchu","archaeological site","Latin America and Caribbean","Medieval"
"Christ the Redeemer","Christ the Redeemer (statue)","sculpture","Latin America and Caribbean","20th century"
"Moai","Moai","sculpture","Oceania","Medieval to early modern"
"Chichen Itza","Chichen Itza","archaeological site","Latin America and Caribbean","Medieval"
"Teotihuacan","Teotihuacan","archaeological site","Latin America and Caribbean","Ancient"
"Nazca Lines","Nazca lines","land art","Latin America and Caribbean","Ancient"
"Panama Canal","Panama Canal","infrastructure","Latin America and Caribbean","20th century"
"Statue of Liberty","Statue of Liberty","sculpture and monument","North America","19th century"
"Empire State Building","Empire State Building","architecture","North America","20th century"
"Chrysler Building","Chrysler Building","architecture","North America","20th century"
"Flatiron Building","Flatiron Building","architecture","North America","20th century"
"One World Trade Center","One World Trade Center","architecture","North America","21st century"
"Original World Trade Center","World Trade Center (1973–2001)","architecture","North America","20th century"
"White House","White House","architecture","North America","18th–21st centuries"
"United States Capitol","United States Capitol","architecture","North America","18th–21st centuries"
"Lincoln Memorial","Lincoln Memorial","monument","North America","20th century"
"Mount Rushmore","Mount Rushmore","monument","North America","20th century"
"Gateway Arch","Gateway Arch","monument","North America","20th century"
"Hollywood Sign","Hollywood Sign","monument","North America","20th century"
"Golden Gate Bridge","Golden Gate Bridge","bridge","North America","20th century"
"Brooklyn Bridge","Brooklyn Bridge","bridge","North America","19th century"
"Space Needle","Space Needle","tower","North America","20th century"
"Hoover Dam","Hoover Dam","infrastructure","North America","20th century"
"Welcome to Fabulous Las Vegas sign","Welcome to Fabulous Las Vegas sign","sign","North America","20th century"
"CN Tower","CN Tower","tower","North America","20th century"
"Château Frontenac","Château Frontenac","architecture","North America","19th century"
"Palacio de Bellas Artes","Palacio de Bellas Artes","architecture","Latin America and Caribbean","20th century"
"Obelisk of Buenos Aires","Obelisco de Buenos Aires","monument","Latin America and Caribbean","20th century"
"National Congress of Brazil","Brazilian National Congress","architecture","Latin America and Caribbean","20th century"
"Cathedral of Brasília","Cathedral of Brasília","architecture","Latin America and Caribbean","20th century"
"St Mark's Basilica","St Mark's Basilica","architecture","Europe","Medieval"
"Doge's Palace","Doge's Palace","architecture","Europe","Medieval and Renaissance"
"Bridge of Sighs","Bridge of Sighs","bridge","Europe","Early modern"
"Sacré-Cœur","Sacré-Cœur, Paris","architecture","Europe","19th–20th centuries"
"Rosetta Stone","Rosetta Stone","artefact","Middle East and North Africa","Ancient"
"Nefertiti Bust","Nefertiti Bust","sculpture","Middle East and North Africa","Ancient"
"Mask of Tutankhamun","Mask of Tutankhamun","artefact","Middle East and North Africa","Ancient"
"Venus de Milo","Venus de Milo","sculpture","Europe","Ancient"
"Winged Victory of Samothrace","Winged Victory of Samothrace","sculpture","Europe","Ancient"
"David","David (Michelangelo)","sculpture","Europe","Renaissance"
"Pietà","Pietà (Michelangelo)","sculpture","Europe","Renaissance"
"The Thinker","The Thinker","sculpture","Europe","19th–20th centuries"
"Discobolus","Discobolus","sculpture","Europe","Ancient"
"Olmec colossal heads","Olmec colossal heads","sculpture","Latin America and Caribbean","Ancient"
"Aztec sun stone","Aztec sun stone","artefact","Latin America and Caribbean","Medieval"
"Bayeux Tapestry","Bayeux Tapestry","textile artwork","Europe","Medieval"
"Lascaux cave paintings","Lascaux","cave art","Europe","Prehistoric"
"Charging Bull","Charging Bull","sculpture","North America","20th century"
"Mona Lisa","Mona Lisa","painting","Europe","Renaissance"
